"('not yet another barbecue sauce', 'Malty')"
"('korean beef bbq  kalbi galbi', 'Hoppy')"
"('cranberry apple dessert risotto   diabetic friendly', 'Specialty')"
"('ukrainian baba mary s halvah cookies', 'Malty')"
"('deviled deviled eggs', 'Hoppy')"
"('deviled corn', 'Hoppy')"
"('spicy catfish tenders with cajun tartar sauce', 'Hoppy')"
"('moroccan lemon mint couscous', 'Hoppy')"
"('nat s sub sauce', 'Hoppy')"
"('praline graham crackers', 'Malty')"
"('grammie bea s greens and new potatoes', 'Malty')"
"('way too easy cajun potatoes', 'Hoppy')"
"('kid friendly watermelon dippers', 'Malty')"
"('cajun borracho chicken   drunken   beer can chicken', 'Malty')"
"('mimi s valentine raspberry scones', 'Fruity/Spicy')"
"('puerto rican style chicken and rice', 'Hoppy')"
"('shrimp and sun dried tomato risotto with asparagus', 'Hoppy')"
"('pink rose cake', 'Specialty')"
"('easy black bean dip or sandwich spread', 'Hoppy')"
"('crab   cream cheese breakfast bake', 'Specialty')"
"('athenian ranch pork empanadas  rsc', 'Hoppy')"
"('chinese take out chicken chow mein with crispy noodles', 'Malty')"
"('plain raita', 'Hoppy')"
"('chocolate butter fudge', 'Roasty')"
"('filet mignon garlic toasts', 'Hoppy')"
"('turtles', 'Roasty')"
"('melon with ginger', 'Malty')"
"('meatball sandwiches with chipotle cherry bbq sauce', 'Hoppy')"
"('smashed potato broccoli casserole', 'Specialty')"
"('cranberry apple pie', 'Specialty')"
"('cornmeal crusted trout catfish', 'Crisp')"
"('bennigan s hot bacon dressing', 'Malty')"
"('baked stuffed lobster for two', 'Hoppy')"
"('vegetarian cream of mushroom soup', 'Roasty')"
"('chocolate sour cream pound cake', 'Specialty')"
"('wicked good pizza muffins for kids', 'Fruity/Spicy')"
"('cuban ahi with banana mango chutney', 'Malty')"
"('beer stew', 'Hoppy')"
"('frozen mixed dream', 'Fruity/Spicy')"
"('orange pancakes', 'Fruity/Spicy')"
"('vegetable hobo dinners', 'Hoppy')"
"('kentucky slaw', 'Hoppy')"
"('easy walnut butterscotch fudge', 'Specialty')"
"('easy chicken caesar stuffed pita', 'Crisp')"
"('thai fish curry', 'Hoppy')"
"('alaska sourest dough  starter', 'Malty')"
"('fresh italian salad', 'Fruity/Spicy')"
"('tequila chicken pasta sauce  gluten free', 'Hoppy')"
"('slice of heaven cake', 'Specialty')"
"('chocolate pudding zucchini muffins', 'Specialty')"
"('ingram s old fashion sugar cookies', 'Specialty')"
"('buttery banana bread', 'Specialty')"
"('sesame chicken bites', 'Fruity/Spicy')"
"('my grandma s pumpkin bars', 'Specialty')"
"('old fashion rice pudding', 'Specialty')"
"('ice cream cone cannoli', 'Specialty')"
"('world famous egg salad', 'Hoppy')"
"('crock pot venison roast', 'Roasty')"
"('old farm fry   eggs  bacon  and potato    longmeadow farm', 'Smoky')"
"('pizza stuffed pizza', 'Hoppy')"
"('southwestern vegetarian pasta', 'Hoppy')"
"('mediterranean orzo vegetable pilaf', 'Hoppy')"
"('mild red chile dressing', 'Hoppy')"
"('bright tomato soup', 'Hoppy')"
"('custer s old fashioned turkey rub', 'Hoppy')"
"('easy tropical beef skillet', 'Hoppy')"
"('tangy tartar sauce  made with dill pickles  not sweet', 'Sour')"
"('lemon basil noodles and veggies', 'Fruity/Spicy')"
"('banana pb chip chip chip blondies  egg free', 'Specialty')"
"('traditional english pub style ploughman s lunch', 'Hoppy')"
"('little cherry crumble cakes', 'Sour')"
"('zucchini stuffed with corn and cheese', 'Hoppy')"
"('berry apple fantasy pie', 'Fruity/Spicy')"
"('lemon shrimp pasta', 'Fruity/Spicy')"
"('spicy garlic broccoli rabe', 'Hoppy')"
"('pork chops in black beans', 'Malty')"
"('hunan dumplings with peanut butter sauce', 'Hoppy')"
"('air fried onion rings', 'Hoppy')"
"('crock pot cheesy meatloaf', 'Hoppy')"
"('hhhhhot crab dip', 'Specialty')"
"('apple pannekoeken', 'Malty')"
"('blueberry double bran muffins', 'Fruity/Spicy')"
"('hawaiian dessert', 'Specialty')"
"('becky s killer pasta salad', 'Hoppy')"
"('peanut butter cookies', 'Specialty')"
"('cake batter pancakes', 'Specialty')"
"('iced tea with lemon', 'Hoppy')"
"('butterscotch pudding', 'Roasty')"
"('spanish rice using quinoa', 'Hoppy')"
"('frosty orange dream squares', 'Specialty')"
"('breakfast in a corn muffin', 'Hoppy')"
"('decadent chocolate chunk cheesecake', 'Specialty')"
"('not your average salsa', 'Hoppy')"
"('yams with streusel topping', 'Specialty')"
"('biscuit mix', 'Rich/Hearty')"
"('kitchiri', 'Hoppy')"
"('hot bacon cheese dip', 'Hoppy')"
"('coffee toffee bread pudding', 'Specialty')"
"('grandmommy s mexicali meatloaf', 'Hoppy')"
"('artichoke spinach frittata', 'Hoppy')"
"('brunch strata', 'Specialty')"
"('redneck caviar party dip salsa', 'Malty')"
"('individual strawberry cheesecake tarts', 'Specialty')"
"('ginger glazed chicken', 'Hoppy')"
"('wild rice apple bread', 'Roasty')"
"('pumpkin streusel cheesecake bars  cookie mix', 'Specialty')"
"('chinese pot roasted chicken', 'Malty')"
"('green chile macaroni', 'Hoppy')"
"('hague bluff', 'Malty')"
"('turkey cranberry quesadillas', 'Specialty')"
"('dirty rice   vegetarian style', 'Smoky')"
"('yakisoba amerikajin', 'Malty')"
"('spiced tempeh sandwiches', 'Hoppy')"
"('rum marinated chicken with tropical salsa', 'Crisp')"
"('blue cheese walnut wafers', 'Hoppy')"
"('tiny cheesecakes', 'Specialty')"
"('mushroom barley risotto', 'Fruity/Spicy')"
"('roast pork  char shu  chinese', 'Roasty')"
"('salmon with sage butter   root vegetables in parchment', 'Fruity/Spicy')"
"('spicy mexican salad  vegan with raw option', 'Hoppy')"
"('clean out the fridge ham salad', 'Sour')"
"('amish friendship chocolate bread', 'Specialty')"
"('zucchini muffins  cookies  bread', 'Specialty')"
"('grilled asparagus with barbecue butter', 'Hoppy')"
"('green salad with posole and creamy cilantro lime vinaigrette', 'Hoppy')"
"('soul food banana cake', 'Fruity/Spicy')"
"('blueberry and mint salad', 'Malty')"
"('lemon  ricotta and sour cream pancakes', 'Specialty')"
"('pressure cooker spaghetti squash with pesto', 'Rich/Hearty')"
"('green vege stir fry', 'Fruity/Spicy')"
"('creamy chicken tortilla soup', 'Fruity/Spicy')"
"('chicken orzo salad with goat cheese', 'Fruity/Spicy')"
"('grapefruit and pineapple marmalade', 'Hoppy')"
"('sweet   savory vegetarian vegan soup', 'Rich/Hearty')"
"('noodle free lasagna', 'Fruity/Spicy')"
"('olive garden insalata', 'Fruity/Spicy')"
"('miso ramen soup', 'Malty')"
"('tastier than  heck oil and vinegar coleslaw dressing', 'Malty')"
"('savory salmon puff', 'Fruity/Spicy')"
"('seafood salad', 'Crisp')"
"('pasta neapolitan', 'Fruity/Spicy')"
"('green beans with walnuts and shallot crisps', 'Malty')"
"('garlic lime chicken with olives', 'Crisp')"
"('fall s pumpkin spice bundt cake', 'Specialty')"
"('lovely lady salad', 'Crisp')"
"('jack daniel s lynchburg lemonade', 'Hoppy')"
"('heart healthy carrot cake', 'Malty')"
"('buttermilk and shrimp soup', 'Crisp')"
"('my very best spaghetti sauce', 'Hoppy')"
"('how to make french fries', 'Hoppy')"
"('quick green bean and tomato  salad', 'Specialty')"
"('arborio rice coating', 'Crisp')"
"('homemade granola mike s coconut amond mix', 'Smoky')"
"('general mapache chicken surprise', 'Hoppy')"
"('cabbage apple and cheese casserole', 'Hoppy')"
"('roasted monkfish with herbs and prosciutto', 'Fruity/Spicy')"
"('pumpkin chocolate tart', 'Specialty')"
"('colombian pound cake', 'Specialty')"
"('limoncello  raspberry   mascarpone mousse', 'Hoppy')"
"('hot and sweet butter flavored popcorn', 'Malty')"
"('easy eggplant  aubergine   dip   sandwich spread', 'Crisp')"
"('vintage pinwheel', 'Specialty')"
"('fluffy fruity pie', 'Specialty')"
"('apple cider bread pudding', 'Malty')"
"('the electrician s supper  hot sliced pork sandwich', 'Malty')"
"('slow cooker casserole', 'Hoppy')"
"('tomatoey egg delight', 'Hoppy')"
"('absolut raspberry sweety', 'Fruity/Spicy')"
"('creamy pumpkin dip', 'Specialty')"
"('shepherd s big purple vegetable pie', 'Hoppy')"
"('jicama turkey salad', 'Crisp')"
"('belgian carrots', 'Malty')"
"('cheese filling for ravioli', 'Fruity/Spicy')"
"('gingerbread truffles', 'Specialty')"
"('immersion blender low fat homemade mayonnaise  w  variatiations', 'Malty')"
"('pork san choy bau', 'Malty')"
"('savory  noodle kugel', 'Hoppy')"
"('garden fresh sausage   pasta', 'Hoppy')"
"('vegtable pilaf', 'Hoppy')"
"('red chef baked spaghetti', 'Fruity/Spicy')"
"('easy low fat oven fried catfish', 'Hoppy')"
"('garden veggies and beef salad', 'Hoppy')"
"('southern style chicken salad', 'Malty')"
"('sichuan style spicy orange beef', 'Hoppy')"
"('banana health nut bread muffins', 'Malty')"
"('chunky peanut butter chocolate chip cookies', 'Roasty')"
"('carrot soup', 'Hoppy')"
"('chicken grand mere', 'Fruity/Spicy')"
"('mom s southern pecan pie', 'Malty')"
"('tuna pasta', 'Fruity/Spicy')"
"('romanian garlic skirt steak', 'Smoky')"
"('black bean and corn salad   spicy mexican salad side dish', 'Hoppy')"
"('chicken salad and avocado sandwich', 'Crisp')"
"('stone fence applesauce cake', 'Malty')"
"('rice and tomatoes with cumin', 'Malty')"
"('blt cheeseburgers are smokin', 'Crisp')"
"('black bean and coconut milk soup', 'Hoppy')"
"('pasta with  broccoli  lemon and almonds', 'Fruity/Spicy')"
"('bombay lamb with lentils and banana raita', 'Hoppy')"
"('asia style chicken drumsticks in the crock pot', 'Malty')"
"('autumn pumpkin bread', 'Specialty')"
"('saucy apples  n  pears', 'Malty')"
"('whole wheat pasta with greens  beans and pancetta', 'Fruity/Spicy')"
"('sopapilla cheesecake', 'Specialty')"
"('le cadeau  the gift', 'Hoppy')"
"('homemade semolina pasta using kitchenaid mixer  pasta attachment', 'Fruity/Spicy')"
"('spanish chicken   rice bake', 'Malty')"
"('variations on a lemonade', 'Fruity/Spicy')"
"('corned beef surprise', 'Hoppy')"
"('kossman rice pudding', 'Specialty')"
"('cake mix chocolate peanut butter cookies', 'Malty')"
"('pork tenderloin and mushrooms', 'Malty')"
"('curried mango', 'Malty')"
"('stir fry of hoisin lamb with cashews and snow peas', 'Hoppy')"
"('flavoured vinegar', 'Malty')"
"('paula deen s orange brownies', 'Fruity/Spicy')"
"('copenhagen', 'Malty')"
"('party meatballs', 'Hoppy')"
"('so easy yummy shrimp scampi', 'Crisp')"
"('zip sauce', 'Hoppy')"
"('blue bahama', 'Hoppy')"
"('macaroni   cheese with bacon', 'Hoppy')"
"('corn pone', 'Hoppy')"
"('chocolate layer cake with chocolate glaze', 'Specialty')"
"('ground turkey   vegetable soup', 'Specialty')"
"('amaretto sour baci', 'Fruity/Spicy')"
"('coconut pancakes   kanom kluk', 'Malty')"
"('wraps sweet and spicy', 'Specialty')"
"('slow cooker herbed beef stew', 'Rich/Hearty')"
"('honey lemon chicken thighs', 'Malty')"
"('fluffy strawberry jello', 'Specialty')"
"('fire noodle soup', 'Roasty')"
"('tamago  yaki  sushi omelette', 'Malty')"
"('frangelico coconut cake', 'Specialty')"
"('tex mex chicken stew', 'Malty')"
"('kabob glaze', 'Malty')"
"('gingerbread cake mix', 'Roasty')"
"('oatmeal applesauce muffins', 'Specialty')"
"('honey glazed pork chops', 'Malty')"
"('peanut butter scotchies', 'Roasty')"
"('smoked boston butt with carolina vinegar sauce', 'Hoppy')"
"('fancy chicken log', 'Crisp')"
"('prawn noodle salad', 'Hoppy')"
"('unbelievable melt in mouth nachos', 'Specialty')"
"('sour cream lemon slice', 'Specialty')"
"('apple pumpkin coffee cake', 'Specialty')"
"('perfect egg salad finger sandwiches', 'Hoppy')"
"('classic caramel milkshake', 'Specialty')"
"('skinny bride s guide to layered vegetable salad', 'Hoppy')"
"('quick and easy crab and corn chowder', 'Smoky')"
"('dora s bread dough enhancer mix   aka bread dough conditioner', 'Fruity/Spicy')"
"('korma sauce', 'Malty')"
"('lower fat chocolate cheesecake', 'Specialty')"
"('ranch potato casserole', 'Hoppy')"
"('garlic mashed potatoes and cashew gravy', 'Malty')"
"('chicken breasts in tomatoes', 'Hoppy')"
"('marina cafe seafood bisque', 'Hoppy')"
"('hungry girl jalapeno poppers', 'Hoppy')"
"('garden vegetable cracker strata', 'Hoppy')"
"('sausage   lentil casserole', 'Malty')"
"('easy homemade vegetable soup', 'Hoppy')"
"('decadent strawberry butter', 'Fruity/Spicy')"
"('bridget s italian wedding soup', 'Fruity/Spicy')"
"('calzone   bar', 'Hoppy')"
"('pigeon pea paste  aka arhar dal or toovar dal', 'Roasty')"
"('scallop pie', 'Rich/Hearty')"
"('chicken with figs and lemon  crock pot', 'Fruity/Spicy')"
"('three amigos chili', 'Malty')"
"('chilled moroccan tomato soup', 'Fruity/Spicy')"
"('chicken and broccoli rabe with fusilli pasta', 'Fruity/Spicy')"
"('low fat taco bell quesadilla sauce', 'Hoppy')"
"('cheese and sausage soup', 'Malty')"
"('chicken noodle delight casserole dinner', 'Malty')"
"('easy tortellini pesto salad', 'Fruity/Spicy')"
"('steak strips', 'Hoppy')"
"('wicklewoods seasoning mix', 'Hoppy')"
"('spicy tofu wontons', 'Hoppy')"
"('baked beef brisket recipe from the 1970s', 'Hoppy')"
"('baked paczkis using a bread machine', 'Specialty')"
"('baking powder buscuits', 'Rich/Hearty')"
"('tutti frutti cake', 'Sour')"
"('christmas wassail', 'Specialty')"
"('salmon   orange pinwheels', 'Fruity/Spicy')"
"('hummus  sun dried tomatoes', 'Hoppy')"
"('cheese smothered chicken', 'Fruity/Spicy')"
"('pumpkin squares with cider caramel sauce', 'Specialty')"
"('my favorite dried beef gravy   for biscuits   gravy', 'Hoppy')"
"('sweet and spicy pork stir fry', 'Hoppy')"
"('1 2 3 healthy soup', 'Malty')"
"('chocolate lover s pumpkin pie', 'Specialty')"
"('sesame chicken with broccoli and snow peas', 'Fruity/Spicy')"
"('slow cooked kielbasa and cheese casserole', 'Hoppy')"
"('easy seafood cocktail sauce', 'Hoppy')"
"('amaretto rum cherry cream pie', 'Specialty')"
"('award winning corn pie', 'Crisp')"
"('haven t got milk macaroni and cheese', 'Hoppy')"
"('day before mashed potatoes', 'Specialty')"
"('crock pot hot buttered rum', 'Malty')"
"('butter chews', 'Malty')"
"('deanna s eggs  chives and bacon', 'Malty')"
"('pepperoni pizzaghetti', 'Hoppy')"
"('no fat no fat yogurt pie', 'Crisp')"
"('mexican chicken chili tart', 'Hoppy')"
"('chicken spiedies', 'Hoppy')"
"('nigella lawson banana bread', 'Specialty')"
"('ben   jerry s heath bar crunch ice', 'Specialty')"
"('toasted coconut marshmallows', 'Malty')"
"('baked meatballs and pasta', 'Hoppy')"
"('corn cakes with avocado salsa', 'Hoppy')"
"('australian champagne and scallop risotto', 'Fruity/Spicy')"
"('tempeh  chicken  salad', 'Hoppy')"
"('spinach  tomato and feta quiche', 'Fruity/Spicy')"
"('holiday soft caramel corn', 'Malty')"
"('berries in champagne jelly', 'Fruity/Spicy')"
"('bisquick coffee cake revised', 'Specialty')"
"('shan s happy chex mix', 'Smoky')"
"('panettone cake', 'Hoppy')"
"('chinese glass noodles with peanut sauce', 'Hoppy')"
"('fried tacos', 'Hoppy')"
"('glazed sirloin with leeks', 'Hoppy')"
"('tropical apple date bread', 'Specialty')"
"('perfect meatballs', 'Hoppy')"
"('award winning chocolate truffle cookies', 'Specialty')"
"('kiddie cinnamon rolls', 'Malty')"
"('garlic lemon pepper injectable marinade', 'Malty')"
"('wild mushrooms  shallot and gruyre omelets', 'Hoppy')"
"('microwaved caramel dumplings', 'Specialty')"
"('thigh steaks in fruity mint salsa', 'Crisp')"
"('grandma s cauliflower', 'Smoky')"
"('hutspot  orange mashed potatoes and sausage dinner', 'Malty')"
"('mexican pork with escabeche spice rub', 'Malty')"
"('warm salad of zucchini and tomato', 'Hoppy')"
"('steel cut oatmeal cookies', 'Specialty')"
"('tropical cheese spread', 'Specialty')"
"('quick turkey tetrazzini', 'Fruity/Spicy')"
"('italian roasted cauliflower', 'Hoppy')"
"('brussels sprouts made', 'Hoppy')"
"('tangy pork chops', 'Hoppy')"
"('fettuccine pasta with mushroom   cashew sauce', 'Hoppy')"
"('old fashioned fudge pie', 'Roasty')"
"('velvet chocolate sauce', 'Specialty')"
"('southern style sweet iced tea', 'Malty')"
"('wacky pancakes', 'Specialty')"
"('spinach  feta  and sun dried tomato phyllo triangles', 'Hoppy')"
"('white chocolate orange cookies', 'Hoppy')"
"('rachael ray s papa al pomodoro   stale bread soup', 'Fruity/Spicy')"
"('cheese chicken and rice casserole', 'Malty')"
"('down home casserole', 'Hoppy')"
"('authentic cypriot taverna brandy sour cocktail', 'Malty')"
"('thanksgiving green bean casserole', 'Roasty')"
"('nuts and pears cheesecake', 'Malty')"
"('mushrooms in cream sauce   pilzen in sahnesosse', 'Hoppy')"
"('cherry nut coffee cake', 'Specialty')"
"('black pepper and bacon drop biscuits', 'Hoppy')"
"('paula deen s sloppy joes', 'Hoppy')"
"('classic kansas city style sauce', 'Malty')"
"('z tejas cornbread', 'Malty')"
"('raspberry filled cake with white chocolate and macadamias', 'Specialty')"
"('pamela s corn muffins   gluten free', 'Specialty')"
"('roasted garlic herb butter', 'Fruity/Spicy')"
"('bacon cheese strips', 'Hoppy')"
"('chocolate delight', 'Specialty')"
"('cupid s cosmo', 'Hoppy')"
"('witch doctor', 'Fruity/Spicy')"
"('lemon yums', 'Hoppy')"
"('bronzed chicken', 'Malty')"
"('sheep dip  sheep dip', 'Fruity/Spicy')"
"('skillet chicken and winter vegetables', 'Hoppy')"
"('carrabba s chicken marsala', 'Crisp')"
"('elegant white chocolate raspberry muffins', 'Specialty')"
"('oven fried spicy pork tenderloin sandwich', 'Malty')"
"('pie dough', 'Malty')"
"('jamaican black bean burgers', 'Hoppy')"
"('homemade butterfinger candy bars', 'Malty')"
"('uncle bill s pizza grilled cheese sandwich', 'Specialty')"
"('lasagna with lamb   eggplant  aubergine', 'Hoppy')"
"('simple chard', 'Malty')"
"('sweet oat cornbread', 'Malty')"
"('de lime in de coconut cheesecake', 'Hoppy')"
"('martha stewart s potato salad', 'Hoppy')"
"('basturma  russian marinated skewered beef', 'Hoppy')"
"('oven barbecued st  louis style ribs', 'Smoky')"
"('poached nectarines', 'Fruity/Spicy')"
"('no bake butterscotch and cream cheesecake  low fat', 'Specialty')"
"('tasty   approved golden quesadillas', 'Fruity/Spicy')"
"('classic crunchy chocolate chip cookies', 'Specialty')"
"('weight watchers taco bean soup', 'Malty')"
"('quick tomato jam', 'Hoppy')"
"('quick and easy pancit', 'Malty')"
"('avocado   apple salad  ensalada de aguacate y manzana', 'Hoppy')"
"('hot fudge pudding cake', 'Specialty')"
"('crock pot onion confit', 'Hoppy')"
"('stuffed cheeseburger aka  juicy lucy', 'Hoppy')"
"('raigler s toast', 'Malty')"
"('mustard crusted filet mignon', 'Hoppy')"
"('easy yeast rolls  or monkey bread', 'Rich/Hearty')"
"('zucchini meatloaf', 'Hoppy')"
"('melt in your mouth cookies', 'Specialty')"
"('buttercream shots', 'Specialty')"
"('caramel swirl cookies', 'Specialty')"
"('moroccan lamb and zucchini pide', 'Hoppy')"
"('our special caesar salad', 'Hoppy')"
"('flor de cana seersucker', 'Malty')"
"('rogaliki  polish croissant cookies with jam filling', 'Specialty')"
"('basil hummus', 'Fruity/Spicy')"
"('kittencal s slow cooker eye of round roast with gravy', 'Roasty')"
"('cranberries and orange loaf', 'Fruity/Spicy')"
"('quick provencal mushroom and white bean stew', 'Roasty')"
"('chilean pomegranate barbecue sauce   pomeque', 'Malty')"
"('apple scone cake', 'Specialty')"
"('apple cheddar cheesy pie', 'Malty')"
"('cucumber   carrot salad', 'Malty')"
"('greek salad', 'Hoppy')"
"('hopscotch crunchies', 'Malty')"
"('spicy orange tea', 'Malty')"
"('tostada compuestas', 'Hoppy')"
"('mom s salad dressing', 'Malty')"
"('smoked pork  white bean and vegetable soup', 'Smoky')"
"('anything dip', 'Malty')"
"('spun honey spread  honey butter', 'Specialty')"
"('way too easy peppered corn niblets', 'Smoky')"
"('polish rum balls', 'Specialty')"
"('pumpkin butter  crock pot', 'Specialty')"
"('cinnamon crepes with caramel sauce and pecans', 'Specialty')"
"('vegan banana blueberry muffins', 'Malty')"
"('chicken livers  mushrooms  and rice', 'Roasty')"
"('chilli  salt and pepper seafood', 'Hoppy')"
"('spinach spoon bread   crock pot', 'Hoppy')"
"('marshmallows  french laundry', 'Specialty')"
"('sweet chilli chicken', 'Malty')"
"('luscious creamy glazed onions', 'Malty')"
"('brunswick stew from caswell county  nc', 'Hoppy')"
"('lime scallops and orzo', 'Hoppy')"
"('crabmeat salad deli style', 'Hoppy')"
"('moroccan beef with honey spice couscous', 'Hoppy')"
"('seafood casserole  for those who don t like seafood', 'Malty')"
"('pear crisp', 'Specialty')"
"('sweet and sour chicken thighs with carrots', 'Malty')"
"('chicken and chorizo pasta', 'Fruity/Spicy')"
"('spanish cristianos y moros   beans and rice sidedish', 'Hoppy')"
"('easy bake oven secret chocolate chip cookies', 'Specialty')"
"('one rise honey wheat bread', 'Malty')"
"('walt disneys chili and beans', 'Hoppy')"
"('cherry gelatin squares', 'Sour')"
"('blueberry breakfast shake', 'Malty')"
"('james beard s chicken kiev', 'Hoppy')"
"('cranberry yam muffins', 'Specialty')"
"('jake s on the lake style shrimp wrapped in prosciutto', 'Crisp')"
"('cold curry cauliflower soup  smooth  simple    yummy', 'Malty')"
"('streusel sweet potatoes', 'Malty')"
"('horseradish hummus', 'Hoppy')"
"('crockpot seafood cheese dip', 'Specialty')"
"('taco twirls', 'Specialty')"
"('the lasagna that will win them over', 'Hoppy')"
"('bbq beans', 'Hoppy')"
"('caakiri  couscous pudding', 'Specialty')"
"('marinated feta with greek olives appetizer', 'Fruity/Spicy')"
"('creole salad', 'Fruity/Spicy')"
"('bills deviled eggs with blue cheese and thyme', 'Hoppy')"
"('gullusci carrot cake with cream cheese icing', 'Specialty')"
"('butternut squash and curry soup', 'Malty')"
"('grilled vegetable panini', 'Hoppy')"
"('cheese whiz veggie casserole', 'Fruity/Spicy')"
"('plain cake jamaican style', 'Specialty')"
"('delicious low fat banana bread with chocolate chips', 'Specialty')"
"('mango popsicles  durofrios de mango', 'Malty')"
"('asparagus  mandarin  orange salad', 'Malty')"
"('oreo ice cream delight', 'Specialty')"
"('slow cooker london broil', 'Roasty')"
"('cookie jar peanut butter cookies', 'Malty')"
"('candied sweet potatoes  yams', 'Malty')"
"('wurzig salad', 'Hoppy')"
"('ziti with portobello mushrooms  caramelized onions  goat cheese', 'Fruity/Spicy')"
"('ham and cheese crescent snacks', 'Hoppy')"
"('pineapple and ham pasta salad', 'Crisp')"
"('jersey disco fries', 'Hoppy')"
"('struttin  sauce  for kansas city sloppy ribs', 'Hoppy')"
"('not your regular chicken salad', 'Malty')"
"('grilled chicken breast with yogurt and cucumber sauce', 'Crisp')"
"('chai tea', 'Malty')"
"('layered chocolate brownie pudding trifle', 'Specialty')"
"('mock ham salad', 'Sour')"
"('leftover lamb curry', 'Hoppy')"
"('irish creamy fudge', 'Specialty')"
"('fran s very easy cherry crisp', 'Specialty')"
"('orzo salad with spinach and feta', 'Fruity/Spicy')"
"('crabmeat  imperial with artichokes', 'Hoppy')"
"('make ahead  flaky sausage foldovers', 'Malty')"
"('pineapple tomatillo salsa', 'Hoppy')"
"('spring mix salad with pomegranate  honey dressing and toasted p', 'Malty')"
"('cheddar cabbage', 'Hoppy')"
"('guy fieri s code red beverage', 'Fruity/Spicy')"
"('parmesan garlic chicken strips', 'Fruity/Spicy')"
"('soft ginger cookies', 'Fruity/Spicy')"
"('creamy mushroom alfredo sauce', 'Hoppy')"
"('leftover turkey burritos', 'Hoppy')"
"('polish tomato soup   zupa pomidorowa', 'Hoppy')"
"('jambalaya stuffing', 'Hoppy')"
"('dutch oven barbecue ribs', 'Roasty')"
"('grilled oysters and biscuits', 'Hoppy')"
"('easy dump cake', 'Sour')"
"('grandma s butternut frosting', 'Specialty')"
"('breakfast gravy for biscuits', 'Malty')"
"('grilled fajitas', 'Hoppy')"
"('cannellini bean saut', 'Sour')"
"('once a year potato bake', 'Fruity/Spicy')"
"('stir fried chicken with gingered vegetables', 'Hoppy')"
"('seafood angelica', 'Hoppy')"
"('spiral ham with cumberland sauce', 'Fruity/Spicy')"
"('spicy chicken club sandwich', 'Malty')"
"('orange sesame kale  eat for health', 'Fruity/Spicy')"
"('german crock pot pork with cabbage', 'Malty')"
"('hot tofu curry  vegan', 'Hoppy')"
"('chicken and apple salad', 'Crisp')"
"('spicy shrimp in coconut sauce', 'Hoppy')"
"('pumpkin carrot raisin spice bread', 'Specialty')"
"('goliad  tx  mud shake', 'Specialty')"
"('vegan corn muffins', 'Malty')"
"('hg s kfc ya later bowl  weight watchers   5 points', 'Fruity/Spicy')"
"('kittencal s creamy parmesan oven baked rice', 'Hoppy')"
"('creamy blue cheese and vermicelli for one', 'Hoppy')"
"('chicken saute with lemon dill and feta', 'Fruity/Spicy')"
"('tofu   broccoli teriyaki', 'Malty')"
"('steamed bean curd with soy sauce', 'Fruity/Spicy')"
"('taco beef dip', 'Hoppy')"
"('grilled shrimp with tarator sauce', 'Hoppy')"
"('sfeeha', 'Roasty')"
"('3rd generation blueberry streusel cake', 'Fruity/Spicy')"
"('easy bake oven pink sparkles frosting', 'Specialty')"
"('oat biscuits', 'Specialty')"
"('neapolitan smoothie', 'Specialty')"
"('sausage  pepper and onion hoagies', 'Hoppy')"
"('portuguese piri piri chicken livers', 'Rich/Hearty')"
"('tgi friday s black eyed pea   corn salsa', 'Hoppy')"
"('le cirque s penne with artichokes and cauliflower', 'Hoppy')"
"('300 icing', 'Specialty')"
"('pumpkin coconut cream cheesecake', 'Specialty')"
"('fast breakfast quesadilla', 'Specialty')"
"('rocky road sundae pie', 'Specialty')"
"('overnight waffles', 'Malty')"
"('fuzzy navel cake', 'Fruity/Spicy')"
"('blackhawk chicken', 'Fruity/Spicy')"
"('pizza gain aka pizzagaina  pizza rustica  italian easter ham pie', 'Specialty')"
"('unknownchef86 s july 4th creamy red  white   blue jello', 'Specialty')"
"('in search of the ultimate spaghetti pizza pasta sauce', 'Hoppy')"
"('hamburger helping mix  in a jar', 'Hoppy')"
"('chocolate covered popcorn  boy scouts copycat  caramel corn', 'Roasty')"
"('spicy shrimp stir fry', 'Crisp')"
"('stampot van boerenkool met worst  kale with potatoes and sausage', 'Hoppy')"
"('best banana bread  gluten free', 'Hoppy')"
"('joy s breakfast pizza', 'Malty')"
"('magnificent mango mousse', 'Hoppy')"
"('funfetti cake batter dip', 'Specialty')"
"('french cabbage and ham gratin', 'Hoppy')"
"('garlic butter parmesan crostini', 'Hoppy')"
"('good ole  gumbo', 'Smoky')"
"('vermont country baked ham from governor howard dean  m d', 'Specialty')"
"('creamy fruit parfait core  ww', 'Fruity/Spicy')"
"('greek yellow split peas with garlic  fava', 'Hoppy')"
"('greek stew', 'Hoppy')"
"('chicken rigatoni', 'Malty')"
"('oat cake crackers', 'Malty')"
"('lemony orzo veggie salad with chicken', 'Fruity/Spicy')"
"('gujarat carrot salad', 'Hoppy')"
"('scandinavian fruit bread   julekage', 'Roasty')"
"('apple and brie toasts', 'Fruity/Spicy')"
"('great potato salad', 'Sour')"
"('asti hawaiian punch slush', 'Fruity/Spicy')"
"('virgin strawberry colada', 'Specialty')"
"('quick blueberry sauce', 'Hoppy')"
"('just trust me  bistro chicken salad', 'Smoky')"
"('pork chop and sauerkraut supper', 'Malty')"
"('auntie ann s lip smackin  homemade french dressing   longmeadow', 'Hoppy')"
